supervised,NMF,LDA
python,css,datum
javascript,datum,user
java,time,time
c#,app,class
html,user,method
android,application,object
php,library,list
python-3.x,window,string
reactjs,html,image
sql,vector,python
r,access,column
css,exception,array
c++,package,query
angular,method,app
pandas,class,table
node.js,database,loop
arrays,api,application
jquery,python,api
mysql,task,text
swift,command,server
typescript,plot,return
ios,map,button
laravel,object,database
json,list,command
django,android,model
sql-server,url,update
excel,table,form
c,string,date
regex,javascript,html
flutter,column,parameter
dataframe,server,json
vba,view,property
vue.js,state,access
spring-boot,sum,view
docker,c,service
postgresql,.net,dataframe
asp.net-core,r,c
azure,service,group
react-native,array,java
kotlin,ios,javascript
amazon-web-services,return,sql
firebase,text,point
string,java,statement
list,argument,url
numpy,image,event
spring,docker,node
dart,template,library
oracle,query,module
mongodb,button,character
bash,regex,window
powershell,model,android
.net,node,google
xml,update,package
linux,csv,format
git,parameter,state
ruby-on-rails,laravel,link
selenium,sql,word
scala,statement,filter
tensorflow,core,web
loops,module,controller
wordpress,property,task
database,loop,path
asp.net,path,set
function,format,key
kubernetes,character,php
ruby,xml,client
unity3d,form,css
ajax,group,template
dictionary,boot,log
.net-core,php,argument
android-studio,event,store
express,date,.net
apache-spark,json,spring
xcode,dataframe,exception
asp.net-mvc,bar,color
keras,word,reference
windows,color,process
for-loop,filter,container
api,controller,attribute
go,chart,sheet
google-sheets,pattern,map
algorithm,dictionary,action
wpf,xcode,csv
google-apps-script,react,browser
azure-devops,client,console
elasticsearch,style,structure
swiftui,studio,docker
google-cloud-platform,spring,react
bootstrap-4,label,panda
web-scraping,vba,r
csv,menu,studio
tsql,shell,build
matplotlib,sqlite,dictionary
visual-studio,sheet,azure
google-cloud-firestore,container,bar
date,panda,site
shell,animation,ios
dplyr,point,xml
ggplot2,devops,environment
flask,route,header
